penalty_id,match_id,match_date,penalty_team,opponent_team,penalty_context,shootout_condition,shooter,shooter_foot,goalkeeper,shot_horizontal,shot_vertical,keeper_direction,penalty_type,outcome,video_source,competition
46653-1,2025-08-30_LEE-MAN_TAI-PO,30 AUG 2025,Tai Po,Lee Man,IN_MATCH,,TEMELKOVSKI James,RIGHT,CHAN Ka Ho,RIGHT,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46653/detail,HKPL
46659-0,2025-09-14_EASTERN-DISTRICT_KITCHEE,14 SEP 2025,Kitchee,Eastern District,IN_MATCH,,MARTINEZ ORTIZ Leandro,RIGHT,DA SILVA ARGOLO Paulo Cesar,LEFT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46659/detail,HKPL
46664-0,2025-09-21_EASTERN_KC-SOUTHERN,21 SEP 2025,KC Southern,Eastern,IN_MATCH,,FIGUEIREDO PEREIRA Stefan,RIGHT,YAPP Hung Fai,RIGHT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46664/detail,HKPL
46666-0,2025-10-04_BC-RANGERS_KOWLOON-CITY,4 OCT 2025,BC Rangers,Kowloon City,IN_MATCH,,BATISTA RAMOS Kayron,RIGHT,YIP Ka Yu,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46666/detail,HKPL
46667-1,2025-10-05_GOLIK-NORTH-DISTRICT_HKFC,5 OCT 2025,Golik North District,HKFC,IN_MATCH,,DAVID PEREIRA Kayke,RIGHT,WONG Tsz Chung,LEFT,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46667/detail,HKPL
46675-0,2025-10-26_HKFC_KOWLOON-CITY,26 OCT 2025,HKFC,Kowloon City,IN_MATCH,,KEDWARDS Nicholas Alexander,RIGHT,YUEN Ho Chun,CENTRE,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46675/detail,HKPL
46675-1,2025-10-26_HKFC_KOWLOON-CITY,26 OCT 2025,Kowloon City,HKFC,IN_MATCH,,BATISTA RAMOS Kayron,LEFT,WONG Tsz Chung,LEFT,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46675/detail,HKPL
46678-15,2025-10-29_EASTERN-DISTRICT_KOWLOON-CITY,29 OCT 2025,Eastern District,Kowloon City,IN_MATCH,,ANDRIC Aleksandar,LEFT,YUEN Ho Chun,LEFT,LOW,LEFT,NORMAL,SAVED,,HKPL
46689-2,2025-11-23_GOLIK-NORTH-DISTRICT_LEE-MAN,23 NOV 2025,Lee Man,Golik North District,IN_MATCH,,CAMARGO Everton,LEFT,LI Hon Ho,LEFT,HIGH,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46689/detail,HKPL
46703-5,2026-01-17_LEE-MAN_TAI-PO,17 JAN 2026,Tai Po,Lee Man,IN_MATCH,,PERAL DE LIMA Patrick,LEFT,LEUNG Hing Kit,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46703/detail,HKPL
