player_id,player_name,country,teams,positions,appearances,starts,minutes,goals,xg,shots,shots_on_target,shots_first_time,shots_one_on_one,shots_left_foot,shots_right_foot,shots_head,goals_p90,xg_p90,shots_p90,shots_on_target_p90,shots_first_time_p90,shots_one_on_one_p90,shot_accuracy,conversion,xg_per_shot,goals_minus_xg,shot_left_share,shot_right_share,shot_head_share,assists,key_passes,assists_p90,key_passes_p90,passes,passes_completed,passes_left_foot,passes_right_foot,passes_head,passes_ground,passes_low,passes_high,crosses,cut_backs,switches,through_balls,passes_p90,passes_completed_p90,crosses_p90,cut_backs_p90,switches_p90,through_balls_p90,pass_completion,pass_left_share,pass_right_share,pass_head_share,pass_ground_share,pass_low_share,pass_high_share,cross_share,cut_back_share,switch_share,through_ball_share,carries,dribbles,dribbles_completed,fouls_won,dispossessed,miscontrols,errors,offsides,carries_p90,dribbles_p90,dribbles_completed_p90,fouls_won_p90,dispossessed_p90,miscontrols_p90,errors_p90,offsides_p90,dribble_success,tackles,interceptions,clearances,blocks,pressures,ball_recoveries,counterpresses,dribbled_past,fifty_fifties,shields,fouls_committed,tackles_p90,interceptions_p90,clearances_p90,blocks_p90,pressures_p90,ball_recoveries_p90,counterpresses_p90,dribbled_past_p90,fifty_fifties_p90,shields_p90,fouls_committed_p90,aerials,aerials_won,aerials_p90,aerials_won_p90,aerial_win_rate,yellow_cards,red_cards,yellow_cards_p90,red_cards_p90,left_ratio,right_ratio
3815,Kasper Schmeichel,Denmark,Leicester City,Goalkeeper,38,38,3594.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0.15,1220,477,30,940,2,135,51,1034,0,0,72,1,30.551,11.945,0.0,0.0,1.803,0.025,0.391,0.025,0.77,0.002,0.111,0.042,0.848,0.0,0.0,0.059,0.001,484,1,1,1,0,0,0,0,12.12,0.025,0.025,0.025,0.0,0.0,0.0,0.0,1.0,0,0,8,1,6,213,2,3,0,0,0,0.0,0.0,0.2,0.025,0.15,5.334,0.05,0.075,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,0.05,0.0,0.031,0.969
3813,Wes Morgan,Jamaica,Leicester City,"Left Center Back, Right Center Back",38,38,3594.0,2,2.948,21,6,5,0,1,6,14,0.05,0.074,0.526,0.15,0.125,0.0,0.286,0.095,0.14,-0.948,0.048,0.286,0.667,0,3,0.0,0.075,849,648,88,565,122,454,135,260,1,0,18,0,21.26,16.227,0.025,0.0,0.451,0.0,0.763,0.104,0.665,0.144,0.535,0.159,0.306,0.001,0.0,0.021,0.0,500,11,9,16,9,10,2,0,12.521,0.275,0.225,0.401,0.225,0.25,0.05,0.0,0.818,53,46,244,87,273,96,114,7,2,9,32,1.327,1.152,6.11,2.179,6.836,2.404,2.855,0.175,0.05,0.225,0.801,200,129,5.008,3.23,0.645,3,0,0.075,0.0,0.135,0.865
3608,Simon Francis,England,AFC Bournemouth,"Left Center Midfield, Right Back, Right Center Back",38,38,3591.6,0,0.197,6,1,2,0,1,4,1,0.0,0.005,0.15,0.025,0.05,0.0,0.167,0.0,0.033,-0.197,0.167,0.667,0.167,4,36,0.1,0.902,2454,1921,282,1712,143,1344,462,648,86,14,85,3,61.493,48.137,2.155,0.351,2.13,0.075,0.783,0.115,0.698,0.058,0.548,0.188,0.264,0.035,0.006,0.035,0.001,1595,49,34,13,20,26,3,0,39.968,1.228,0.852,0.326,0.501,0.652,0.075,0.0,0.694,109,60,213,58,403,152,171,33,1,0,38,2.731,1.504,5.337,1.453,10.099,3.809,4.285,0.827,0.025,0.0,0.952,218,137,5.463,3.433,0.628,5,1,0.125,0.025,0.142,0.858
3344,Andrew Surman,England,AFC Bournemouth,"Center Defensive Midfield, Left Center Midfield, Left Defensive Midfield, Right Center Midfield, Right Defensive Midfield",38,38,3590.9,0,0.762,16,0,9,0,16,0,0,0.0,0.019,0.401,0.0,0.226,0.0,0.0,0.0,0.048,-0.762,1.0,0.0,0.0,3,45,0.075,1.128,2309,1970,1755,339,147,1519,379,411,7,0,116,9,57.871,49.375,0.175,0.0,2.907,0.226,0.853,0.76,0.147,0.064,0.658,0.164,0.178,0.003,0.0,0.05,0.004,1544,26,17,22,24,25,0,0,38.698,0.652,0.426,0.551,0.602,0.627,0.0,0.0,0.654,50,56,82,65,539,218,194,47,2,1,32,1.253,1.404,2.055,1.629,13.509,5.464,4.862,1.178,0.05,0.025,0.802,149,78,3.734,1.955,0.523,4,0,0.1,0.0,0.839,0.161
20005,Toby Alderweireld,Belgium,Tottenham Hotspur,"Right Back, Right Center Back",38,38,3569.2,4,3.184,41,14,3,2,5,12,24,0.101,0.08,1.034,0.353,0.076,0.05,0.341,0.098,0.078,0.816,0.122,0.293,0.585,2,9,0.05,0.227,2122,1704,314,1618,131,1314,205,603,14,0,128,11,53.508,42.968,0.353,0.0,3.228,0.277,0.803,0.148,0.762,0.062,0.619,0.097,0.284,0.007,0.0,0.06,0.005,1544,12,7,7,9,6,0,0,38.933,0.303,0.177,0.177,0.227,0.151,0.0,0.0,0.583,40,46,258,73,237,147,91,23,0,2,9,1.009,1.16,6.506,1.841,5.976,3.707,2.295,0.58,0.0,0.05,0.227,154,89,3.883,2.244,0.578,3,0,0.076,0.0,0.164,0.836
3522,Heurelho da Silva Gomes,Brazil,Watford,Goalkeeper,38,38,3554.2,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1132,593,28,826,0,200,44,888,0,0,24,0,28.665,15.016,0.0,0.0,0.608,0.0,0.524,0.025,0.73,0.0,0.177,0.039,0.784,0.0,0.0,0.021,0.0,371,0,0,5,1,0,0,0,9.395,0.0,0.0,0.127,0.025,0.0,0.0,0.0,0.0,0,0,2,1,7,222,1,1,0,0,2,0.0,0.0,0.051,0.025,0.177,5.622,0.025,0.025,0.0,0.0,0.051,0,0,0.0,0.0,0.0,4,0,0.101,0.0,0.033,0.967
3523,Craig Dawson,England,West Bromwich Albion,"Left Back, Left Center Back, Right Back, Right Center Back, Right Midfield",38,38,3548.7,4,3.432,38,8,11,0,2,17,19,0.101,0.087,0.964,0.203,0.279,0.0,0.211,0.105,0.09,0.568,0.053,0.447,0.5,0,23,0.0,0.583,1658,1049,78,900,138,516,499,643,77,5,40,2,42.049,26.604,1.953,0.127,1.014,0.051,0.633,0.047,0.543,0.083,0.311,0.301,0.388,0.046,0.003,0.024,0.001,778,30,15,32,18,21,0,0,19.731,0.761,0.38,0.812,0.457,0.533,0.0,0.0,0.5,76,44,189,105,443,122,134,47,1,5,37,1.927,1.116,4.793,2.663,11.235,3.094,3.398,1.192,0.025,0.127,0.938,252,158,6.391,4.007,0.627,3,0,0.076,0.0,0.08,0.92
4022,Darren Fletcher,Scotland,West Bromwich Albion,"Center Attacking Midfield, Left Center Midfield, Left Defensive Midfield, Right Center Midfield, Right Defensive Midfield, Right Midfield",38,38,3533.6,1,1.84,23,4,9,0,3,14,6,0.025,0.047,0.586,0.102,0.229,0.0,0.174,0.043,0.08,-0.84,0.13,0.609,0.261,2,25,0.051,0.637,1516,1151,167,1203,87,922,208,386,31,0,53,13,38.612,29.316,0.79,0.0,1.35,0.331,0.759,0.11,0.794,0.057,0.608,0.137,0.255,0.02,0.0,0.035,0.009,1218,67,39,36,43,38,0,0,31.022,1.706,0.993,0.917,1.095,0.968,0.0,0.0,0.582,45,29,39,54,547,281,197,45,5,0,22,1.146,0.739,0.993,1.375,13.932,7.157,5.018,1.146,0.127,0.0,0.56,103,49,2.623,1.248,0.476,3,0,0.076,0.0,0.123,0.877
3262,Łukasz Fabiański,Poland,Swansea City,Goalkeeper,37,36,3492.2,0,0.104,1,0,0,0,0,0,1,0.0,0.003,0.026,0.0,0.0,0.0,0.0,0.0,0.104,-0.104,0.0,0.0,1.0,1,4,0.026,0.103,1212,768,67,853,2,451,67,694,0,0,49,0,31.235,19.793,0.0,0.0,1.263,0.0,0.634,0.055,0.704,0.002,0.372,0.055,0.573,0.0,0.0,0.04,0.0,550,0,0,9,1,0,3,0,14.174,0.0,0.0,0.232,0.026,0.0,0.077,0.0,0.0,0,0,2,1,5,165,0,1,0,0,1,0.0,0.0,0.052,0.026,0.129,4.252,0.0,0.026,0.0,0.0,0.026,1,1,0.026,0.026,1.0,1,0,0.026,0.0,0.073,0.927
10955,Harry Kane,England,Tottenham Hotspur,Center Forward,38,38,3486.6,25,21.635,158,75,47,11,31,115,12,0.645,0.558,4.078,1.936,1.213,0.284,0.475,0.158,0.137,3.365,0.196,0.728,0.076,1,40,0.026,1.033,1005,720,129,710,54,603,228,174,39,3,32,14,25.942,18.585,1.007,0.077,0.826,0.361,0.716,0.128,0.706,0.054,0.6,0.227,0.173,0.039,0.003,0.032,0.014,1024,96,56,61,92,106,0,4,26.433,2.478,1.446,1.575,2.375,2.736,0.0,0.103,0.583,32,12,31,62,491,173,163,22,1,1,44,0.826,0.31,0.8,1.6,12.674,4.466,4.208,0.568,0.026,0.026,1.136,308,96,7.95,2.478,0.312,5,0,0.129,0.0,0.162,0.838
